Date,VoterID,CandidateID,CandidateSeat,VoterAge,District
2026-06-04,5678912340,8765432109,02,18,Monaragala
2026-5-5,3542458156,2478963521,12,18,Jaffna
2026-6-5,5478963214,8765432109,02,18,Matale
2026-06-05,5369874258,2478963521,12,18,Anuradhapura
2025-05-31,3647523689,3579864521,36,20,Ratnapura
2026-05-04,7891234560,8765432109,02,19,Kurunegala
2026-05-21,6782153769,3796456978,28,20,Ampara
2026-06-02,6542781253,2478963521,12,18,Trincomalee
2026-02-05,6875214789,3579864521,36,19,Kandy
2023-12-02,4756954753,3485694589,23,18,Jaffna
2023-08-05,4567891230,3578256987,96,20,Vavuniya
2023-06-05,3486975695,3796456978,28,19,Kurunegala
2025-12-23,5874123659,3579864521,36,19,Badulla
